,Frame,Previous Position,Previous Velocity,Action,Position,Velocity,Reward,Terminal,Truncated
0,0.0,-0.4004722535610199,0.0,2.0,-0.4003748297691345,9.740768291521817e-05,-1.0,0.0,0.0
1,1.0,-0.4003748297691345,9.740768291521817e-05,2.0,-0.4001806974411011,0.00019413411791902035,-1.0,0.0,0.0
2,2.0,-0.4001806974411011,0.00019413411791902035,1.0,-0.4008912146091461,-0.0007104969117790461,-1.0,0.0,0.0
3,3.0,-0.4008912146091461,-0.0007104969117790461,2.0,-0.4015013575553894,-0.0006101583130657673,-1.0,0.0,0.0
4,4.0,-0.4015013575553894,-0.0006101583130657673,2.0,-0.40200692415237427,-0.0005055485526099801,-1.0,0.0,0.0
5,5.0,-0.40200692415237427,-0.0005055485526099801,0.0,-0.40440431237220764,-0.002397397765889764,-1.0,0.0,0.0
6,6.0,-0.40440431237220764,-0.002397397765889764,2.0,-0.4066767394542694,-0.0022724266164004803,-1.0,0.0,0.0
7,7.0,-0.4066767394542694,-0.0022724266164004803,2.0,-0.4088082015514374,-0.002131470013409853,-1.0,0.0,0.0
8,8.0,-0.4088082015514374,-0.002131470013409853,2.0,-0.41078367829322815,-0.001975483261048794,-1.0,0.0,0.0
9,9.0,-0.41078367829322815,-0.001975483261048794,1.0,-0.4135892391204834,-0.0028055356815457344,-1.0,0.0,0.0
10,10.0,-0.4135892391204834,-0.0028055356815457344,2.0,-0.41620492935180664,-0.0026157109532505274,-1.0,0.0,0.0
11,11.0,-0.41620492935180664,-0.0026157109532505274,2.0,-0.4186122417449951,-0.0024073023814707994,-1.0,0.0,0.0
12,12.0,-0.4186122417449951,-0.0024073023814707994,1.0,-0.42179399728775024,-0.0031817476265132427,-1.0,0.0,0.0
13,13.0,-0.42179399728775024,-0.0031817476265132427,0.0,-0.42672744393348694,-0.004933468531817198,-1.0,0.0,0.0
14,14.0,-0.42672744393348694,-0.004933468531817198,0.0,-0.4333772659301758,-0.006649819668382406,-1.0,0.0,0.0
15,15.0,-0.4333772659301758,-0.006649819668382406,0.0,-0.44169551134109497,-0.008318249136209488,-1.0,0.0,0.0
16,16.0,-0.44169551134109497,-0.008318249136209488,0.0,-0.4516218900680542,-0.00992636103183031,-1.0,0.0,0.0
17,17.0,-0.4516218900680542,-0.00992636103183031,2.0,-0.46108388900756836,-0.009462002664804459,-1.0,0.0,0.0
18,18.0,-0.46108388900756836,-0.009462002664804459,1.0,-0.4710119962692261,-0.009928121231496334,-1.0,0.0,0.0
19,19.0,-0.4710119962692261,-0.009928121231496334,0.0,-0.48233288526535034,-0.011320888064801693,-1.0,0.0,0.0
20,20.0,-0.48233288526535034,-0.011320888064801693,1.0,-0.49396249651908875,-0.011629591695964336,-1.0,0.0,0.0
21,21.0,-0.49396249651908875,-0.011629591695964336,1.0,-0.5058140754699707,-0.011851571500301361,-1.0,0.0,0.0
22,22.0,-0.5058140754699707,-0.011851571500301361,2.0,-0.5167989730834961,-0.010984892956912518,-1.0,0.0,0.0
23,23.0,-0.5167989730834961,-0.010984892956912518,1.0,-0.5278348326683044,-0.011035888455808163,-1.0,0.0,0.0
24,24.0,-0.5278348326683044,-0.011035888455808163,2.0,-0.5378389358520508,-0.010004119016230106,-1.0,0.0,0.0
